Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m508	0	1	2	1	0	2	1	1	0	0	1	0	0	0	0	0	0	32	32	0	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	32	0	32	0	0	0
m1679	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m5692	1	1	2	2	1	4	1	1	1	0	1	0	0	0	0	0	0	2	2	2	0	2	2	0	1	1	0	2	0	0	1	0	1	0	0	2	0	2	0	0	0
m5838	1	0	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	3	0	0	1	0	1	0	0	1	0	1	0	0	0
m1889	1	1	1	2	1	2	1	1	1	0	1	0	0	0	0	0	0	1	1	2	0	2	2	0	0	1	1	1	4	4	0	0	5	0	0	1	0	1	0	4	4
m4381	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m5626	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
m5632	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m5749	3	4	2	6	3	2	4	4	3	0	4	0	0	0	0	0	0	3	3	3	0	3	3	0	2	2	1	4	2	1	1	2	4	0	0	3	0	3	0	1	1
m5760	3	4	2	5	3	2	4	4	3	0	4	0	0	0	0	0	0	1	1	3	0	3	3	0	2	2	1	4	1	0	1	1	3	0	0	1	0	1	0	0	0
m6140	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m5660	2	2	2	3	2	4	2	2	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	1	0	3	1	1	1	0	3	0	0	2	0	2	0	1	1
m1803	0	1	1	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
m7268	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
m7452	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
m4601	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	4	3	0	1	1	0	3	1	1	1	0	1	0	0	1	0	2	0	1	1
m4754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5926	1	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0
m5676	4	1	1	1	4	1	1	1	4	0	1	0	0	0	0	0	0	0	0	4	0	5	4	0	0	0	0	3	1	1	0	0	4	0	0	0	0	1	0	1	1
m3924	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
