Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m6223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6224	0.166666666666667	0.333333333333333	0.2	0.2	0.2	0.2	0.25	0.25	0.166666666666667	0.1	0.25	0.166666666666667	0.166666666666667	0.166666666666667	0.125	0.0909090909090909	0.125	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.2	0.166666666666667	0.142857142857143	0.2	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0.2	0	0.25	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.2	0.125	0.166666666666667	0.166666666666667
m6225	0.25	0.25	0.2	0.166666666666667	0.25	0.25	0.2	0.166666666666667	0.25	0.0909090909090909	0.2	0.166666666666667	0.142857142857143	0.142857142857143	0.111111111111111	0.0833333333333333	0.142857142857143	0.142857142857143	0.125	0.2	0.125	0.166666666666667	0.125	0.125	0.2	0.2	0.142857142857143	0.25	0.25	0.25	0	0.2	0.166666666666667	0.2	0	0.125	0.111111111111111	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667
m4144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6227	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.25	0.166666666666667	0.2	0.142857142857143	0.0909090909090909	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.142857142857143	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.2	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6241	0.25	0.333333333333333	0.25	0.2	0.333333333333333	0.333333333333333	0.25	0.25	0.25	0.125	0.25	0.333333333333333	0.2	0.25	0.166666666666667	0.111111111111111	0.166666666666667	0.166666666666667	0.2	0.2	0.166666666666667	0.25	0.166666666666667	0.142857142857143	0.25	0.2	0.2	0.25	0.2	0.25	0	0.25	0.25	0.25	0	0.166666666666667	0.166666666666667	0.25	0.142857142857143	0.25	0.25
m6242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6245	0.2	0.5	0.333333333333333	0.333333333333333	0.2	0.25	0.333333333333333	0.333333333333333	0.2	0.111111111111111	0.333333333333333	0.25	0.2	0.25	0.142857142857143	0.1	0.166666666666667	0.2	0.25	0.25	0.166666666666667	0.25	0.2	0.142857142857143	0.25	0.333333333333333	0.25	0.2	0.2	0.25	0	0.25	0.25	0.2	0	0.2	0.166666666666667	0.25	0.142857142857143	0.2	0.2
m5211	0.2	0.333333333333333	0.25	0.25	0.25	0.2	0.25	0.25	0.2	0.111111111111111	0.25	0.2	0.2	0.2	0.142857142857143	0.1	0.166666666666667	0.2	0.25	0.333333333333333	0.166666666666667	0.25	0.166666666666667	0.142857142857143	0.2	0.166666666666667	0.2	0.2	0.2	0.333333333333333	0	0.25	0.25	0.2	0	0.25	0.166666666666667	0.25	0.166666666666667	0.2	0.2
m6246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6250	0.2	0.333333333333333	0.2	0.333333333333333	0.2	0.2	0.25	0.25	0.2	0.111111111111111	0.2	0.2	0.2	0.2	0.142857142857143	0.111111111111111	0.142857142857143	0.166666666666667	0.2	0.333333333333333	0.142857142857143	0.2	0.166666666666667	0.142857142857143	0.2	0.166666666666667	0.2	0.25	0.2	0.25	0	0.25	0.2	0.166666666666667	0	0.2	0.166666666666667	0.25	0.142857142857143	0.2	0.2
m6251	0.166666666666667	0.25	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.2	0.166666666666667	0.0909090909090909	0.2	0.166666666666667	0.142857142857143	0.166666666666667	0.125	0.0909090909090909	0.125	0.125	0.142857142857143	0.166666666666667	0.142857142857143	0.2	0.142857142857143	0.111111111111111	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0	0.166666666666667	0.166666666666667	0.166666666666667	0	0.142857142857143	0.125	0.2	0.125	0.166666666666667	0.166666666666667
m6252	0.166666666666667	0.2	0.2	0.2	0.166666666666667	0.2	0.166666666666667	0.2	0.142857142857143	0.0909090909090909	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.111111111111111	0.1	0.125	0.142857142857143	0.142857142857143	0.166666666666667	0.125	0.2	0.166666666666667	0.125	0.2	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0.2	0	0.2	0.2	0.142857142857143	0	0.166666666666667	0.125	0.166666666666667	0.125	0.166666666666667	0.166666666666667
