Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	cheparon mediated autophagy	er stress	fabry disease	farber disease	gaucher disease	gaucher disease type-1	gaucher disease type-2	gaucher disease type-3	gm1 gangliosidosis	krabbe disease	macroautophagy	mitochondrial dysfunction	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	ubiquitin-dependent proteasomal degradation	unfolded protein response
m168	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1
m214	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1
m227	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1
m81	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m362	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
m366	0	0	102	21	0	0	126	112	0	0	0	0	126	114	113	0	126	0	0	0	0	0	0	0	0
m367	0	0	77	0	0	0	93	83	0	0	0	0	93	0	0	57	93	0	0	57	57	0	0	0	0
m368	0	0	7	0	0	0	8	7	0	0	0	0	8	0	6	0	8	0	0	0	0	0	0	2	0
m370	0	0	21	0	0	0	27	25	0	0	0	0	27	17	25	0	27	0	0	0	0	0	0	0	0
m373	0	0	0	0	0	0	23	20	0	0	0	0	23	21	15	12	23	0	0	12	12	0	0	0	0
m375	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m377	0	0	10	0	0	0	11	10	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0
m400	0	0	2	0	0	0	2	2	0	0	0	0	2	1	0	1	2	0	0	1	1	0	0	0	2
m402	0	0	3	0	0	0	3	3	0	0	0	0	3	0	2	2	3	0	0	2	2	0	0	0	2
m411	0	0	13	0	0	0	19	12	0	0	0	0	19	17	15	0	19	0	0	0	0	0	0	0	0
m415	0	0	0	9	11	0	34	0	0	0	0	0	34	24	30	0	34	0	0	0	0	0	0	12	13
m417	0	0	17	27	27	0	30	15	0	0	0	0	30	28	26	0	30	0	0	0	0	0	0	0	27
