Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m6427	0.125	0.111111111111111	0.142857142857143	0	0	0	0	0	0	0.142857142857143	0	0.142857142857143	0.166666666666667	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m6428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6430	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.125	0	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m6431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6437	0.125	0.111111111111111	0.142857142857143	0	0	0	0	0	0	0.142857142857143	0	0.142857142857143	0.166666666666667	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m6438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6443	0.111111111111111	0.1	0.142857142857143	0	0	0	0	0	0	0.142857142857143	0	0.125	0.142857142857143	0.142857142857143	0.142857142857143	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6446	0.142857142857143	0.125	0.2	0	0	0	0	0	0	0.142857142857143	0	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.2	0.2	0.2
m6447	0.1	0.0909090909090909	0.142857142857143	0	0	0	0	0	0	0.1	0	0.111111111111111	0.125	0.1	0.1	0	0	0.111111111111111	0.111111111111111	0.111111111111111
m6448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6451	0.142857142857143	0.125	0.166666666666667	0	0	0	0	0	0	0.125	0	0.166666666666667	0.2	0.125	0.125	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6463	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.333333333333333	0	0.142857142857143	0.166666666666667	0.333333333333333	0.333333333333333	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6466	0.111111111111111	0.1	0.142857142857143	0	0	0	0	0	0	0.111111111111111	0	0.125	0.142857142857143	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6468	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.125	0	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
