Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m86	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m77	2	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m87	13	13	13	0	0	0	0	0	0	13	0	13	13	13	13	0	0	0	0	0
m78	2	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m91	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m89	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0
m90	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m93	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m94	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m99	2	1	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m112	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m111	4	4	4	0	0	0	0	0	0	4	0	4	4	4	4	0	0	0	0	0
m115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m82	13	13	13	0	0	0	0	0	0	13	0	13	13	13	13	0	0	0	0	0
m242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m65	19	19	19	0	0	0	0	0	0	19	0	19	19	19	19	0	0	0	0	0
m226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m48	4	4	4	0	0	0	0	0	0	4	0	4	4	4	4	0	0	0	0	0
m258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m98	6	6	6	0	0	0	0	0	0	6	0	6	6	6	6	0	0	0	0	0
m183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m95	2	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m54	28	28	28	0	0	0	0	0	0	28	0	28	28	28	28	0	0	0	0	0
