Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702	1702	1702
m33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m51	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	1.5	0	0	0	0	0
m57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m56	0	0	0	0	0	0	0	0	0	1702	0	0	0	1702	1702	0	0	0	0	0
m67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m66	1702	1702	2	0	0	0	0	0	0	0	0	1702	1702	0	0	0	0	0	0	0
m68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m76	1707	1707	7	0	0	0	0	0	0	0	0	1707	0	0	0	0	0	0	0	0
m72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m75	1708	1708	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m77	0	0	56.0002976366287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m87	4	4	1696	0	0	0	0	0	0	4.42179487179487	0	4	4	4.42179487179487	4.42179487179487	0	0	4.28571428571429	4.28571428571429	4.28571428571429
m78	0	0	28.0021708683473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m89	0	1709	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m90	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m111	0	0	1704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m115	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m140	0	0	0.52979797979798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
