Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m178	0	0	0	0	0	0
m179	0	0	0	0	0	0
m180	0	0	0	0	0	0
m181	0	0	0	0	0	0
m182	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m183	0	0	0	0	0	0
m184	0	0	0	0	0	0
m185	0	0	0	0	0	0
m186	0	0	0	0	0	0
m187	0	0	0	0	0	0
m188	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m189	0	0	0	0	0	0
m190	0	0	0	0	0	0
m191	0	0	0	0	0	0
m192	0	0	0	0	0	0
m193	0	0	0	0	0	0
m194	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m195	0	0	0	0	0	0
m196	0	0	0	0	0	0
m197	0	0	0	0	0	0
m198	0	0	0	0	0	0
m199	0	0	0	0	0	0
m200	0	0	0	0	0	0
m201	0	0	0	0	0	0
m202	0	0	0	0	0	0
m203	0	0	0	0	0	0
m204	0	0	0	0	0	0
m205	0	0	0	0	0	0
m207	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m209	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m212	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m213	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m214	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m215	0	0	0	0	0	0
m216	0	0	0	0	0	0
m217	0	0	0	0	0	0
m218	0	0	0	0	0	0
m75	0	0	0	0	0	0
m219	0	0	0	0	0	0
m220	0	0	0	0	0	0
m221	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m222	0	0	0	0	0	0
m223	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m224	0	0	0	0	0	0
m225	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m226	0	0	0	0	0	0
m227	0	0	0	0	0	0
m228	0	0	0	0	0	0
m229	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m230	0	0	0	0	0	0
m233	0	0	0	0	0	0
m236	0	0	0	0	0	0
m237	0	0	0	0	0	0
m238	0	0	0	0	0	0
m239	0	0	0	0	0	0
m240	0	0	0	0	0	0
m241	0	0	0	0	0	0
m242	0	0	0	0	0	0
m243	0	0	0	0	0	0
m244	0	0	0	0	0	0
m245	0	0	0	0	0	0
m249	0	0	0	0	0	0
m250	0	0	0	0	0	0
m251	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m56	0	0	0	0	0	0
m252	0	0	0	0	0	0
m253	0	0	0	0	0	0
m254	0	0	0	0	0	0
m255	0	0	0	0	0	0
m256	0	0	0	0	0	0
m258	0	0	0	0	0	0
m259	0	0	0	0	0	0
m260	0	0	0	0	0	0
m261	0	0	0	0	0	0
m262	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m263	0	0	0	0	0	0
m264	0	0	0	0	0	0
m265	0	0	0	0	0	0
m266	0	0	0	0	0	0
m267	0	0	0	0	0	0
m268	0	0	0	0	0	0
m269	0	0	0	0	0	0
m270	0	0	0	0	0	0
m271	0	0	0	0	0	0
m272	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m273	0	0	0	0	0	0
m274	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m51	0	0	0	0	0	0
m275	0	0	0	0	0	0
m276	0	0	0	0	0	0
m277	0	0	0	0	0	0
m278	0	0	0	0	0	0
m279	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m280	0	0	0	0	0	0
m281	0	0	0	0	0	0
m282	0	0	0	0	0	0
m283	0	0	0	0	0	0
m284	0	0	0	0	0	0
m285	0	0	0	0	0	0
m286	0	0	0	0	0	0
m287	0	0	0	0	0	0
m288	0	0	0	0	0	0
m289	0	0	0	0	0	0
m290	0	0	0	0	0	0
m291	0	0	0	0	0	0
m292	0	0	0	0	0	0
m293	0	0	0	0	0	0
m294	0	0	0	0	0	0
m295	0	0	0	0	0	0
m296	0	0	0	0	0	0
m297	0	0	0	0	0	0
m298	0	0	0	0	0	0
m299	0	0	0	0	0	0
m300	0	0	0	0	0	0
m301	0	0	0	0	0	0
m302	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m303	0	0	0	0	0	0
m304	0	0	0	0	0	0
m305	0	0	0	0	0	0
m306	0	0	0	0	0	0
m307	0	0	0	0	0	0
m308	0	0	0	0	0	0
m309	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m310	0	0	0	0	0	0
m311	0	0	0	0	0	0
m312	0	0	0	0	0	0
m313	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m314	0	0	0	0	0	0
m315	0	0	0	0	0	0
m316	0	0	0	0	0	0
m317	0	0	0	0	0	0
m318	0	0	0	0	0	0
m319	0	0	0	0	0	0
m320	0	0	0	0	0	0
m321	0	0	0	0	0	0
m322	0	0	0	0	0	0
m323	0	0	0	0	0	0
m324	0	0	0	0	0	0
m325	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m326	0	0	0	0	0	0
m327	0	0	0	0	0	0
m328	0	0	0	0	0	0
m329	0	0	0	0	0	0
m330	0	0	0	0	0	0
m332	0	0	0	0	0	0
m333	0	0	0	0	0	0
m334	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m335	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m336	0	0	0	0	0	0
m337	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m338	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m339	0	0	0	0	0	0
m340	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m343	0	0	0	0	0	0
m344	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m346	0	0	0	0	0	0
m348	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m351	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m352	0	0	0	0	0	0
m353	0	0	0	0	0	0
m354	0.25	0.2	0	0.2	0.166666666666667	0.2
m355	0	0	0	0	0	0
m50	0	0	0	0	0	0
m357	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m358	0	0	0	0	0	0
m359	0	0	0	0	0	0
m360	0	0	0	0	0	0
m361	0	0	0	0	0	0
m362	0	0	0	0	0	0
m364	0	0	0	0	0	0
m365	0.333333333333333	0.25	0	0.25	0.2	0.25
m366	0	0	0	0	0	0
m367	0	0	0	0	0	0
m368	0	0	0	0	0	0
m372	0	0	0	0	0	0
m373	0	0	0	0	0	0
m374	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m376	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m377	0	0	0	0	0	0
m380	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m381	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m382	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m383	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m384	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m385	0	0	0	0	0	0
m58	0	0	0	0	0	0
m386	0	0	0	0	0	0
m387	0	0	0	0	0	0
m388	0	0	0	0	0	0
m389	0	0	0	0	0	0
m390	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m391	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m392	0	0	0	0	0	0
m393	0	0	0	0	0	0
m394	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m395	0	0	0	0	0	0
m396	0	0	0	0	0	0
m397	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m398	0	0	0	0	0	0
m399	0	0	0	0	0	0
m400	0	0	0	0	0	0
m401	0	0	0	0	0	0
m402	0	0	0	0	0	0
m403	0	0	0	0	0	0
m404	0	0	0	0	0	0
m405	0	0	0	0	0	0
m406	0	0	0	0	0	0
m407	0	0	0	0	0	0
m408	0	0	0	0	0	0
m409	0	0	0	0	0	0
m410	0	0	0	0	0	0
m411	0	0	0	0	0	0
m412	0	0	0	0	0	0
m413	0	0	0	0	0	0
m414	0	0	0	0	0	0
m415	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m416	0	0	0	0	0	0
m417	0	0	0	0	0	0
m418	0	0	0	0	0	0
m419	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m420	0	0	0	0	0	0
m421	0	0	0	0	0	0
m422	0	0	0	0	0	0
m423	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m424	0	0	0	0	0	0
m425	0	0	0	0	0	0
m426	0	0	0	0	0	0
m427	0	0	0	0	0	0
m428	0	0	0	0	0	0
m429	0	0	0	0	0	0
m430	0	0	0	0	0	0
m431	0	0	0	0	0	0
m432	0	0	0	0	0	0
m433	0	0	0	0	0	0
m434	0	0	0	0	0	0
m331	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m435	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m436	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m93	0	0	0	0	0	0
m437	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m438	0	0	0	0	0	0
m439	0	0	0	0	0	0
m440	0	0	0	0	0	0
m441	0	0	0	0	0	0
m442	0.25	0.2	0	0.2	0.166666666666667	0.2
m443	0	0	0	0	0	0
m444	0	0	0	0	0	0
m445	0	0	0	0	0	0
m446	0	0	0	0	0	0
m447	0	0	0	0	0	0
m451	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m452	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m453	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m461	0	0	0	0	0	0
m52	0	0	0	0	0	0
m462	0	0	0	0	0	0
m463	0	0	0	0	0	0
m464	0	0	0	0	0	0
m466	0	0	0	0	0	0
m467	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m468	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m469	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m476	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m481	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m482	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m483	0	0	0	0	0	0
m484	0	0	0	0	0	0
m485	0	0	0	0	0	0
m486	0	0	0	0	0	0
m477	0	0	0	0	0	0
m487	0	0	0	0	0	0
m488	0	0	0	0	0	0
m489	0	0	0	0	0	0
m490	0	0	0	0	0	0
m491	0	0	0	0	0	0
m492	0	0	0	0	0	0
m493	0	0	0	0	0	0
m494	0	0	0	0	0	0
m495	0	0	0	0	0	0
m496	0	0	0	0	0	0
m497	0	0	0	0	0	0
m498	0	0	0	0	0	0
m499	0	0	0	0	0	0
m500	0	0	0	0	0	0
m501	0	0	0	0	0	0
m502	0	0	0	0	0	0
m503	0	0	0	0	0	0
m504	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m505	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m506	0	0	0	0	0	0
m507	0	0	0	0	0	0
m508	0	0	0	0	0	0
m509	0	0	0	0	0	0
m59	0	0	0	0	0	0
m510	0	0	0	0	0	0
m511	0	0	0	0	0	0
m512	0	0	0	0	0	0
m513	0	0	0	0	0	0
m514	0	0	0	0	0	0
m515	0	0	0	0	0	0
m516	0	0	0	0	0	0
m517	0	0	0	0	0	0
m518	0	0	0	0	0	0
m519	0	0	0	0	0	0
m520	0	0	0	0	0	0
m521	0	0	0	0	0	0
m522	0	0	0	0	0	0
m523	0	0	0	0	0	0
m524	0	0	0	0	0	0
m525	0	0	0	0	0	0
m526	0	0	0	0	0	0
m527	0	0	0	0	0	0
m528	0	0	0	0	0	0
m529	0	0	0	0	0	0
m530	0	0	0	0	0	0
m531	0	0	0	0	0	0
m532	0	0	0	0	0	0
m533	0	0	0	0	0	0
m534	0	0	0	0	0	0
