Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m188	2.33333333333333	2.33333333333333	0	2.33333333333333	2.33333333333333	2.33333333333333
m189	0	0	0	0	0	0
m190	0	0	0	0	0	0
m191	0	0	0	0	0	0
m192	0	0	0	0	0	0
m193	0	0	0	0	0	0
m194	0	0	0	0	0	0
m195	0	0	0	0	0	0
m196	0	0	0	0	0	0
m197	0	0	0	0	0	0
m198	0	0	0	0	0	0
m199	0	0	0	0	0	0
m200	0	0	0	0	0	0
m201	0	0	0	0	0	0
m202	0	0	0	0	0	0
m203	0	0	0	0	0	0
m204	0	0	0	0	0	0
m205	0	0	0	0	0	0
m207	1	1	0	1	1	1
m209	0	0	0	0	0	0
m212	46.8976190476191	46.8976190476191	0	46.8976190476191	46.8976190476191	46.8976190476191
m213	2	2	0	2	2	2
m214	0	0	0	0	0	0
m215	0	0	0	0	0	0
m216	0	0	0	0	0	0
m217	0	0	0	0	0	0
m218	0	0	0	0	0	0
m75	0	0	0	0	0	0
m219	0	0	0	0	0	0
m220	0	0	0	0	0	0
m221	5.58333333333333	5.58333333333333	0	5.58333333333333	5.58333333333333	5.58333333333333
m222	0	0	0	0	0	0
m223	13.1428571428571	13.1428571428571	0	13.1428571428571	13.1428571428571	13.1428571428571
m224	0	0	0	0	0	0
m225	2	2	0	2	2	2
m226	0	0	0	0	0	0
m227	0	0	0	0	0	0
m228	0	0	0	0	0	0
m229	3.33333333333333	3.33333333333333	0	3.33333333333333	3.33333333333333	3.33333333333333
m230	0	0	0	0	0	0
m233	0	0	0	0	0	0
m236	0	0	0	0	0	0
m237	0	0	0	0	0	0
m238	0	0	0	0	0	0
m239	0	0	0	0	0	0
m240	0	0	0	0	0	0
m241	0	0	0	0	0	0
m242	0	0	0	0	0	0
m243	0	0	0	0	0	0
m244	0	0	0	0	0	0
m245	0	0	0	0	0	0
m249	0	0	0	0	0	0
m250	0	0	0	0	0	0
m251	1	1	0	1	1	1
m56	0	0	0	0	0	0
m252	0	0	0	0	0	0
m253	0	0	0	0	0	0
m254	0	0	0	0	0	0
m255	0	0	0	0	0	0
m256	0	0	0	0	0	0
m258	0	0	0	0	0	0
m259	0	0	0	0	0	0
m260	0	0	0	0	0	0
m261	0	0	0	0	0	0
m262	9	9	0	9	9	9
m263	0	0	0	0	0	0
m264	0	0	0	0	0	0
m265	0	0	0	0	0	0
m266	0	0	0	0	0	0
m267	0	0	0	0	0	0
m268	0	0	0	0	0	0
m269	0	0	0	0	0	0
m270	0	0	0	0	0	0
m271	0	0	0	0	0	0
m272	0	0	0	0	0	0
m273	0	0	0	0	0	0
m274	0	0	0	0	0	0
m51	0	0	0	0	0	0
m275	0	0	0	0	0	0
m276	0	0	0	0	0	0
m277	0	0	0	0	0	0
m278	0	0	0	0	0	0
m279	0	0	0	0	0	0
m280	0	0	0	0	0	0
m281	0	0	0	0	0	0
m282	0	0	0	0	0	0
m283	0	0	0	0	0	0
m284	0	0	0	0	0	0
m285	0	0	0	0	0	0
m286	0	0	0	0	0	0
m287	0	0	0	0	0	0
m288	0	0	0	0	0	0
m289	0	0	0	0	0	0
m290	0	0	0	0	0	0
m291	0	0	0	0	0	0
m292	0	0	0	0	0	0
m293	0	0	0	0	0	0
m294	0	0	0	0	0	0
m295	0	0	0	0	0	0
m296	0	0	0	0	0	0
m297	0	0	0	0	0	0
m298	0	0	0	0	0	0
m299	0	0	0	0	0	0
m300	0	0	0	0	0	0
m301	0	0	0	0	0	0
m302	5.4	5.4	0	5.4	5.4	5.4
m303	0	0	0	0	0	0
m304	0	0	0	0	0	0
m305	0	0	0	0	0	0
m306	0	0	0	0	0	0
m307	0	0	0	0	0	0
m308	0	0	0	0	0	0
m309	3	3	0	3	3	3
m310	0	0	0	0	0	0
m311	0	0	0	0	0	0
m312	0	0	0	0	0	0
m313	1.6	1.6	0	1.6	1.6	1.6
m314	0	0	0	0	0	0
m315	0	0	0	0	0	0
m316	0	0	0	0	0	0
m317	0	0	0	0	0	0
m318	0	0	0	0	0	0
m319	0	0	0	0	0	0
m320	0	0	0	0	0	0
m321	0	0	0	0	0	0
m322	0	0	0	0	0	0
m323	0	0	0	0	0	0
m324	0	0	0	0	0	0
m325	1	1	0	1	1	1
m326	0	0	0	0	0	0
m327	0	0	0	0	0	0
m328	0	0	0	0	0	0
m329	0	0	0	0	0	0
m330	0	0	0	0	0	0
m332	0	0	0	0	0	0
m333	0	0	0	0	0	0
m334	0	0	0	0	0	0
m335	1	1	0	1	1	1
m336	0	0	0	0	0	0
m337	2	2	0	2	2	2
m338	4.20952380952381	4.20952380952381	0	4.20952380952381	4.20952380952381	4.20952380952381
m339	0	0	0	0	0	0
m340	0	0	0	0	0	0
m343	0	0	0	0	0	0
m344	2.33333333333333	2.33333333333333	0	2.33333333333333	2.33333333333333	2.33333333333333
m346	0	0	0	0	0	0
m348	0	0	0	0	0	0
m351	1	1	0	1	1	1
m352	0	0	0	0	0	0
m353	0	0	0	0	0	0
m354	139.704761904762	139.704761904762	0	139.704761904762	139.704761904762	139.704761904762
m355	0	0	0	0	0	0
m50	0	0	0	0	0	0
m357	4.39285714285714	4.39285714285714	0	4.39285714285714	4.39285714285714	4.39285714285714
m358	0	0	0	0	0	0
m359	0	0	0	0	0	0
m360	0	0	0	0	0	0
m361	0	0	0	0	0	0
m362	0	0	0	0	0	0
m364	0	0	0	0	0	0
m365	350	350	0	350	350	350
m366	0	0	0	0	0	0
m367	0	0	0	0	0	0
m368	0	0	0	0	0	0
m372	0	0	0	0	0	0
m373	0	0	0	0	0	0
m374	0	0	0	0	0	0
m376	0	0	0	0	0	0
m377	0	0	0	0	0	0
m380	0	0	0	0	0	0
m381	1	1	0	1	1	1
m382	0	0	0	0	0	0
m383	0.166666666666667	0.166666666666667	0	0.166666666666667	0.166666666666667	0.166666666666667
m384	2.6	2.6	0	2.6	2.6	2.6
m385	0	0	0	0	0	0
m58	0	0	0	0	0	0
m386	0	0	0	0	0	0
m387	0	0	0	0	0	0
m388	0	0	0	0	0	0
m389	0	0	0	0	0	0
m390	0	0	0	0	0	0
m391	0	0	0	0	0	0
m392	0	0	0	0	0	0
m393	0	0	0	0	0	0
m394	1	1	0	1	1	1
m395	0	0	0	0	0	0
m396	0	0	0	0	0	0
m397	4.75	4.75	0	4.75	4.75	4.75
m398	0	0	0	0	0	0
m399	0	0	0	0	0	0
m400	0	0	0	0	0	0
m401	0	0	0	0	0	0
m402	0	0	0	0	0	0
m403	0	0	0	0	0	0
m404	0	0	0	0	0	0
m405	0	0	0	0	0	0
m406	0	0	0	0	0	0
m407	0	0	0	0	0	0
m408	0	0	0	0	0	0
m409	0	0	0	0	0	0
m410	0	0	0	0	0	0
m411	0	0	0	0	0	0
m412	0	0	0	0	0	0
m413	0	0	0	0	0	0
m414	0	0	0	0	0	0
m415	0	0	0	0	0	0
m416	0	0	0	0	0	0
m417	0	0	0	0	0	0
m418	0	0	0	0	0	0
m419	1	1	0	1	1	1
m420	0	0	0	0	0	0
m421	0	0	0	0	0	0
m422	0	0	0	0	0	0
m423	0	0	0	0	0	0
m424	0	0	0	0	0	0
m425	0	0	0	0	0	0
m426	0	0	0	0	0	0
m427	0	0	0	0	0	0
m428	0	0	0	0	0	0
m429	0	0	0	0	0	0
m430	0	0	0	0	0	0
m431	0	0	0	0	0	0
m432	0	0	0	0	0	0
m433	0	0	0	0	0	0
m434	0	0	0	0	0	0
m331	9.05238095238095	9.05238095238095	0	9.05238095238095	9.05238095238095	9.05238095238095
m435	2	2	0	2	2	2
m436	0	0	0	0	0	0
m93	0	0	0	0	0	0
m437	1	1	0	1	1	1
m438	0	0	0	0	0	0
m439	0	0	0	0	0	0
m440	0	0	0	0	0	0
m441	0	0	0	0	0	0
m442	10.7095238095238	10.7095238095238	0	10.7095238095238	10.7095238095238	10.7095238095238
m443	0	0	0	0	0	0
m444	0	0	0	0	0	0
m445	0	0	0	0	0	0
m446	0	0	0	0	0	0
m447	0	0	0	0	0	0
m451	0	0	0	0	0	0
m452	1	1	0	1	1	1
m453	0	0	0	0	0	0
m461	0	0	0	0	0	0
m52	0	0	0	0	0	0
m462	0	0	0	0	0	0
m463	0	0	0	0	0	0
m464	0	0	0	0	0	0
m466	0	0	0	0	0	0
m467	4	4	0	4	4	4
m468	1.58333333333333	1.58333333333333	0	1.58333333333333	1.58333333333333	1.58333333333333
m469	1	1	0	1	1	1
m476	0	0	0	0	0	0
m481	6.58333333333333	6.58333333333333	0	6.58333333333333	6.58333333333333	6.58333333333333
m482	0.5	0.5	0	0.5	0.5	0.5
m483	0	0	0	0	0	0
m484	0	0	0	0	0	0
m485	0	0	0	0	0	0
m486	0	0	0	0	0	0
m477	0	0	0	0	0	0
m487	0	0	0	0	0	0
m488	0	0	0	0	0	0
m489	0	0	0	0	0	0
m490	0	0	0	0	0	0
m491	0	0	0	0	0	0
m492	0	0	0	0	0	0
m493	0	0	0	0	0	0
m494	0	0	0	0	0	0
m495	0	0	0	0	0	0
m496	0	0	0	0	0	0
m497	0	0	0	0	0	0
m498	0	0	0	0	0	0
m499	0	0	0	0	0	0
m500	0	0	0	0	0	0
m501	0	0	0	0	0	0
m502	0	0	0	0	0	0
m503	0	0	0	0	0	0
m504	11.1666666666667	11.1666666666667	0	11.1666666666667	11.1666666666667	11.1666666666667
m505	2.8	2.8	0	2.8	2.8	2.8
m506	0	0	0	0	0	0
m507	0	0	0	0	0	0
m508	0	0	0	0	0	0
m509	0	0	0	0	0	0
m59	0	0	0	0	0	0
m510	0	0	0	0	0	0
m511	0	0	0	0	0	0
m512	0	0	0	0	0	0
m513	0	0	0	0	0	0
m514	0	0	0	0	0	0
m515	0	0	0	0	0	0
m516	0	0	0	0	0	0
m517	0	0	0	0	0	0
m518	0	0	0	0	0	0
m519	0	0	0	0	0	0
m520	0	0	0	0	0	0
m521	0	0	0	0	0	0
m522	0	0	0	0	0	0
m523	0	0	0	0	0	0
m524	0	0	0	0	0	0
m525	0	0	0	0	0	0
m526	0	0	0	0	0	0
